Week,mike wazowski,stonks,woman yelling at a cat,me and the boys,ugandan knuckles
2017-07-02,2,0,0,0,0
2017-07-09,2,0,0,0,0
2017-07-16,3,0,0,0,0
2017-07-23,4,0,0,0,0
2017-07-30,4,0,0,1,0
2017-08-06,3,0,0,0,0
2017-08-13,4,0,0,0,0
2017-08-20,4,0,0,0,0
2017-08-27,1,0,0,0,0
2017-09-03,2,0,0,0,0
2017-09-10,3,0,0,0,0
2017-09-17,2,0,0,0,0
2017-09-24,4,0,0,0,0
2017-10-01,2,0,0,0,0
2017-10-08,3,1,0,0,0
2017-10-15,2,0,0,1,0
2017-10-22,2,0,0,0,0
2017-10-29,2,0,0,1,0
2017-11-05,2,0,0,0,0
2017-11-12,2,0,0,0,0
2017-11-19,2,0,0,0,0
2017-11-26,2,0,0,0,0
2017-12-03,3,0,0,0,0
2017-12-10,1,0,0,0,0
2017-12-17,2,0,0,1,0
2017-12-24,1,0,0,0,0
2017-12-31,2,1,0,0,4
2018-01-07,2,1,0,0,60
2018-01-14,3,1,0,0,31
2018-01-21,2,1,0,0,15
2018-01-28,1,1,0,0,11
2018-02-04,2,1,0,0,12
2018-02-11,3,0,0,1,8
2018-02-18,2,1,0,1,8
2018-02-25,3,0,0,0,4
2018-03-04,2,0,0,0,5
2018-03-11,2,1,0,0,4
2018-03-18,3,1,0,0,5
2018-03-25,1,0,0,1,3
2018-04-01,2,0,0,0,2
2018-04-08,2,1,0,0,2
2018-04-15,1,0,0,0,3
2018-04-22,3,0,0,1,3
2018-04-29,3,0,0,0,3
2018-05-06,3,0,0,1,3
2018-05-13,4,0,0,0,3
2018-05-20,4,0,0,0,2
2018-05-27,2,0,0,0,2
2018-06-03,2,0,0,0,2
2018-06-10,2,0,0,0,2
2018-06-17,1,1,0,0,1
2018-06-24,1,1,0,1,1
2018-07-01,2,0,0,0,1
2018-07-08,2,0,0,1,1
2018-07-15,1,1,0,0,2
2018-07-22,1,0,0,0,1
2018-07-29,2,1,0,0,2
2018-08-05,2,0,0,0,1
2018-08-12,11,0,0,0,1
2018-08-19,7,0,0,0,2
2018-08-26,3,1,0,0,1
2018-09-02,5,1,0,1,2
2018-09-09,4,1,0,1,2
2018-09-16,3,0,0,1,2
2018-09-23,4,1,0,0,1
2018-09-30,4,0,0,0,2
2018-10-07,4,1,0,0,1
2018-10-14,2,0,0,0,1
2018-10-21,3,0,0,0,2
2018-10-28,4,0,0,0,1
2018-11-04,3,0,0,0,1
2018-11-11,3,1,0,0,2
2018-11-18,2,1,0,0,2
2018-11-25,4,0,0,0,2
2018-12-02,3,1,0,0,2
2018-12-09,2,1,0,0,2
2018-12-16,3,0,0,0,3
2018-12-23,2,0,0,0,3
2018-12-30,2,0,0,1,6
2019-01-06,2,1,0,0,1
2019-01-13,2,0,0,0,3
2019-01-20,3,0,0,1,3
2019-01-27,2,1,0,0,3
2019-02-03,3,0,0,1,3
2019-02-10,3,1,0,1,1
2019-02-17,3,0,0,1,1
2019-02-24,3,0,0,1,2
2019-03-03,4,0,0,1,1
2019-03-10,4,1,0,0,2
2019-03-17,7,0,0,1,1
2019-03-24,3,1,0,1,1
2019-03-31,2,1,0,1,2
2019-04-07,4,0,0,1,2
2019-04-14,3,0,0,1,1
2019-04-21,3,0,0,2,1
2019-04-28,5,0,0,1,2
2019-05-05,6,0,0,1,2
2019-05-12,8,0,0,2,2
2019-05-19,10,0,0,1,3
2019-05-26,6,0,0,2,1
2019-06-02,9,2,0,89,1
2019-06-09,6,3,0,100,1
2019-06-16,6,22,1,54,1
2019-06-23,5,16,0,29,1
2019-06-30,5,10,1,22,1
2019-07-07,3,14,1,16,1
2019-07-14,3,14,1,19,1
2019-07-21,4,14,1,14,1
2019-07-28,5,11,1,10,1
2019-08-04,4,11,1,6,1
2019-08-11,4,15,1,8,1
2019-08-18,6,11,1,6,1
2019-08-25,7,16,1,5,1
2019-09-01,7,11,1,5,1
2019-09-08,19,15,1,7,1
2019-09-15,28,13,1,7,1
2019-09-22,20,13,1,6,1
2019-09-29,28,15,1,5,1
2019-10-06,21,16,1,4,1
2019-10-13,28,15,1,5,1
2019-10-20,28,17,1,6,1
2019-10-27,28,16,2,8,1
2019-11-03,27,14,4,4,1
2019-11-10,30,12,5,4,2
2019-11-17,31,15,5,5,1
2019-11-24,29,10,3,3,1
2019-12-01,32,12,2,4,1
2019-12-08,34,12,2,3,1
2019-12-15,26,13,2,3,1
2019-12-22,26,14,1,2,1
2019-12-29,31,13,1,4,2
2020-01-05,36,17,1,5,2
2020-01-12,33,23,1,5,1
2020-01-19,27,27,1,3,2
2020-01-26,33,31,1,3,1
2020-02-02,26,33,1,2,1
2020-02-09,26,34,1,3,1
2020-02-16,28,31,1,3,1
2020-02-23,31,32,1,3,1
2020-03-01,28,33,1,4,1
2020-03-08,22,37,1,5,1
2020-03-15,38,34,0,4,1
2020-03-22,41,33,1,4,1
2020-03-29,32,27,1,3,1
2020-04-05,25,28,1,2,1
2020-04-12,30,27,1,3,1
2020-04-19,32,31,1,4,1
2020-04-26,26,29,1,5,1
2020-05-03,28,27,1,3,1
2020-05-10,35,24,1,3,1
2020-05-17,26,20,1,2,1
2020-05-24,31,21,0,2,1
2020-05-31,30,22,1,2,1
2020-06-07,28,23,1,3,1
2020-06-14,30,25,0,1,1
2020-06-21,26,20,1,3,1
2020-06-28,21,21,1,1,1
2020-07-05,18,21,1,2,1
2020-07-12,19,22,0,2,1
2020-07-19,18,21,1,3,1
